pid,ad_title,target_age_group,target_gender,target_mood,target_weather
Z3L50P1DQ32THDU4,thermal wear for kids bringing simple in cold weather,Kids,Male,neutral,cold
H2KC10S89KFONVY6,ladies cozy beanie for adults bringing warmth in cold weather,65+,Female,Sad,cold
ZY1R3HTOEE9WLA9K,tea pack for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
GYKFJBKHAZQRH9F4,waterproof boots for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
U0J7TQUPXKQJLWPR,tea pack for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
29RQ0ILR9YBZZJI8,ladies moisture cream for adults bringing delight in rainy weather,65+,Female,Happy,rainy
GAHLIBPZB1J6QA04,cozy beanie for middle aged adults bringing simple in cold weather,40-64,Female,neutral,cold
H3NQV5NMC7OSEX6L,warm hoodie for teenagers bringing warmth in cold weather,10-18,Female,Sad,cold
JA975KYZ447O51Q7,moisture cream for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
K1T8435PAA21HPYC,moisture cream for young adults bringing delight in rainy weather,18-39,Female,Happy,rainy
A9J9ALRQ4UHB47K9,cozy beanie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
KJB0ZU4CLVJO30CE,moisture cream for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
PSMD0XPOBLOXCVEG,soft gloves for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
9ML4CXLKRNYA1CMU,moisture cream for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
RK0UR1V5OZ3V5T5N,ladies winter jacket for teenagers bringing simple in cold weather,10-18,Female,neutral,cold
NZAOHK54MP9C4JZ9,cozy beanie for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
0X97440RW3RTIZ3W,thermal wear for adults bringing warmth in cold weather,65+,Male,Sad,cold
Z6GTWST5KXF9037C,raincoat for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
0UG8X85PPJOPZAT6,hot coffee for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
42286AXM71T1EWGO,thermal wear for kids bringing simple in cold weather,Kids,Male,neutral,cold
CA3YSTGF24C5GA8U,cozy beanie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
ICY8RA3TYE9LSY7S,ladies moisture cream for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
4LD570Q9R5R009OB,ladies hot coffee for middle aged adults bringing warmth in cold weather,40-64,Female,Sad,cold
CS11CB8Y3LT7RE4D,moisture cream for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
JIZEW4HUSL00YZW8,windbreaker for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
HN48W63UYXUPBW4O,cozy beanie for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
RMXOP5KRQ4II4I5A,cozy beanie for kids bringing comfort in cold weather,Kids,Female,Angry,cold
RPD88KP5JSP7266V,thermal wear for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
R3URSRV21TTPTX5A,moisture cream for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
R5QNO1L2YI0GKTUM,ladies windbreaker for middle aged adults bringing delight in rainy weather,40-64,Female,Happy,rainy
SBJFAV71S2UP1E57,warm hoodie for adults bringing simple in cold weather,65+,Female,neutral,cold
DBUM0DZQTAKHVBXF,waterproof boots for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
Y85IQNM0P6E5CL0Z,winter jacket for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
OEO9F18BL46Y4A5M,soft gloves for young adults bringing simple in cold weather,18-39,Male,neutral,cold
C0J1YX0B59KMWH0Q,ladies winter jacket for middle aged adults bringing delight in cold weather,40-64,Female,Happy,cold
Z2VHRE2RQCAQS62V,ladies soft gloves for adults bringing comfort in cold weather,65+,Female,Angry,cold
YYK1F9MKLX7FHVZK,ladies raincoat for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
YU5DPQJOSKLEHGNS,winter jacket for young adults bringing warmth in cold weather,18-39,Male,Sad,cold
HM0MB2KDWE8OL294,ladies hot coffee for adults bringing delight in cold weather,65+,Female,Happy,cold
THDE1J24ETZM3O6W,moisture cream for adults bringing warmth in rainy weather,65+,Male,Sad,rainy
WJI32DJ2PZCOT6S7,ladies warm hoodie for young adults bringing delight in cold weather,18-39,Female,Happy,cold
GCYRNEQ407F4RUXF,soft gloves for young adults bringing delight in cold weather,18-39,Male,Happy,cold
TU9XXTSHDNXUWI81,ladies waterproof boots for adults bringing simple in rainy weather,65+,Female,neutral,rainy
LF88NZO97EIS7Y9F,thermal wear for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
HWWOABFBBK7FMCEB,ladies windbreaker for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
Z2YB8B56GVINZKP7,winter jacket for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
SCTU7IQ8XPGU7Q2C,winter jacket for young adults bringing simple in cold weather,18-39,Female,neutral,cold
MX5C13ZEOG924IGO,cozy beanie for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
C6HCUCYRJ5D9V4R6,warm hoodie for adults bringing warmth in cold weather,65+,Male,Sad,cold
FHLZWYA0BLAJ1310,umbrella for teenagers bringing simple in rainy weather,10-18,Male,neutral,rainy
D17PYG40X3SLY99I,raincoat for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
K3YM792F8HFY8SST,windbreaker for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
0EI9PKI10J66F60I,ladies thermal wear for kids bringing delight in cold weather,Kids,Female,Happy,cold
CH3J82W3RTBOYEG9,ladies hot coffee for kids bringing simple in cold weather,Kids,Female,neutral,cold
ESR3ACWELDLRLLI5,cozy beanie for middle aged adults bringing delight in cold weather,40-64,Male,Happy,cold
11WYT94UXXMUYAVI,moisture cream for adults bringing simple in rainy weather,65+,Female,neutral,rainy
QC9M70PYW2SVKS3Q,warm hoodie for adults bringing comfort in cold weather,65+,Male,Angry,cold
RQMVRG47ULPHDPA6,ladies tea pack for kids bringing comfort in rainy weather,Kids,Female,Angry,rainy
Y9RU712XJI3SPTL8,umbrella for adults bringing simple in rainy weather,65+,Male,neutral,rainy
12DUGR1BNGGSU174,umbrella for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
OS4DJPPXQYZEP4NS,windbreaker for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
JQLAI7K73NRXJID9,soft gloves for adults bringing simple in cold weather,65+,Male,neutral,cold
89QLIND6JCWMH7ZM,ladies moisture cream for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
FRVSZDHATXUZDF4R,ladies warm hoodie for teenagers bringing delight in cold weather,10-18,Female,Happy,cold
VP283642QA9NFFWA,warm hoodie for adults bringing comfort in cold weather,65+,Female,Angry,cold
IA6OCQWZNOBK6L70,waterproof boots for teenagers bringing comfort in rainy weather,10-18,Female,Angry,rainy
VOF0M61B7ON1U5BT,windbreaker for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
DL2HLZSC4NPC3YCC,raincoat for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
M5IRSSKEAKCVGWN6,moisture cream for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
KNFVYIFBIZISZEQ5,waterproof boots for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
AH5CK7DOFQOQJTY4,ladies moisture cream for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
GP9MLR6CJA1L0A65,ladies hot coffee for kids bringing comfort in cold weather,Kids,Female,Angry,cold
9VXHBUWUJGDIYW4E,thermal wear for kids bringing warmth in cold weather,Kids,Female,Sad,cold
4QSMQ845X38TURCB,hot coffee for young adults bringing delight in cold weather,18-39,Male,Happy,cold
QM8VK17393C8HKGV,umbrella for middle aged adults bringing warmth in rainy weather,40-64,Male,Sad,rainy
SLEL7AZWKJM0GZM2,warm hoodie for middle aged adults bringing delight in cold weather,40-64,Male,Happy,cold
ZOGWFU63AB74VCXS,winter jacket for kids bringing warmth in cold weather,Kids,Female,Sad,cold
SV74EES874JLK5GL,warm hoodie for young adults bringing simple in cold weather,18-39,Female,neutral,cold
KE811A663XJ2BZQY,hot coffee for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
325UXE3WMINWVFAS,raincoat for young adults bringing simple in rainy weather,18-39,Male,neutral,rainy
E3U81M6XG3OVIFYQ,windbreaker for adults bringing delight in rainy weather,65+,Male,Happy,rainy
VJE0VA8CANFPJSTB,thermal wear for kids bringing delight in cold weather,Kids,Male,Happy,cold
6Z5UW5L2LHS8KO3P,tea pack for adults bringing delight in rainy weather,65+,Female,Happy,rainy
I8CRUSJ4YBPCNCY7,hot coffee for adults bringing warmth in cold weather,65+,Male,Sad,cold
P06RAQR93O9OWAFV,umbrella for teenagers bringing warmth in rainy weather,10-18,Male,Sad,rainy
E9KA6CJW8A3JB4JS,waterproof boots for young adults bringing warmth in rainy weather,18-39,Female,Sad,rainy
QGCTRSU616H72N7R,moisture cream for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
KRHFXPCXE1W35IP6,soft gloves for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
N4933X5DEXY6WQ5S,hot coffee for teenagers bringing comfort in cold weather,10-18,Female,Angry,cold
OLH0K3VV3Z0XMGHW,ladies moisture cream for kids bringing delight in rainy weather,Kids,Female,Happy,rainy
4DTFZAPXETFHSVX7,waterproof boots for kids bringing comfort in rainy weather,Kids,Female,Angry,rainy
OXZPRGWSHYWIE8CT,warm hoodie for adults bringing simple in cold weather,65+,Male,neutral,cold
3CJTFWUOPGMLQKW7,waterproof boots for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
R4N4XV2CY0OURO5W,windbreaker for adults bringing delight in rainy weather,65+,Female,Happy,rainy
WMW7BDSXA32M1SFF,ladies raincoat for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
DA8DQW9VMSE6IYQ1,windbreaker for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
4MLNZCAJAO3HIXRS,waterproof boots for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
ECS8D9PTU7ILQ2C9,tea pack for young adults bringing warmth in rainy weather,18-39,Male,Sad,rainy
V93F9KSOY1RQGU59,hot coffee for young adults bringing warmth in cold weather,18-39,Male,Sad,cold
W5VPWN75886LI77C,hot coffee for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
I9KUVMHBQXTHEYD2,thermal wear for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
